navn	nodhavnnummer	kategori	lenke_faktaark	forvaltningsstatus	iua	fylke	kommune	informasjon	geom_wkt
Bøvågen                                                                                             	166	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge166.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Haugesund                                         	Rogaland                                          	Karmøy                                            	Sjøkart: 17, Havnedistrikt: Karmsund                                                                	POINT(5.28683443104694 59.36118357026411)
Byggnes                                                                                             	163	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge163.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Haugesund                                         	Rogaland                                          	Karmøy                                            	Sjøkart: 17, Havnedistrikt: Karmsund                                                                	POINT(5.318263083568211 59.30125220425858)
Strandvikflaket                                                                                     	183	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge183.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Bergen                                            	Vestland                                          	Bjørnafjorden                                     	Sjøkart: 22, Havnedistrikt: -                                                                       	POINT(5.654982196031238 60.134115681699974)
Holmbukt                                                                                            	5	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Finnmark/Holmbuktx.pdf' target='_blank' >FAKTAARK HER<a>                                                                                           	Vedtatt                                                                                             	Øst-Finnmark                                      	Troms og Finnmark                                 	Sør-Varanger                                      		POINT(30.021666534970556 69.82166667084998)
Kobbvågen                                                                                           	7	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Finnmark/Kobbvaagenx.pdf' target='_blank' >FAKTAARK HER<a>                                                                                         	Vedtatt                                                                                             	Øst-Finnmark                                      	Troms og Finnmark                                 	Sør-Varanger                                      		POINT(29.964999873386482 69.87166667064515)
Norskbukt                                                                                           	8	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Finnmark/Norskbuktx.pdf' target='_blank' >FAKTAARK HER<a>                                                                                          	Vedtatt                                                                                             	Øst-Finnmark                                      	Troms og Finnmark                                 	Sør-Varanger                                      		POINT(29.44499990351594 69.89833333630813)
Leirbukt                                                                                            	9	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Finnmark/Leirbuktx.pdf' target='_blank' >FAKTAARK HER<a>                                                                                           	Vedtatt                                                                                             	Øst-Finnmark                                      	Troms og Finnmark                                 	Sør-Varanger                                      		POINT(29.374999906373265 69.86833333622975)
Karlebotn                                                                                           	10	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Finnmark/Karlebotnx.pdf' target='_blank' >FAKTAARK HER<a>                                                                                          	Vedtatt                                                                                             	Øst-Finnmark                                      	Troms og Finnmark                                 	Nesseby                                           		POINT(28.62166660727278 70.11666666838609)
Veidnesbotn                                                                                         	11	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Finnmark/Veidnesbotnx.pdf' target='_blank' >FAKTAARK HER<a>                                                                                        	Vedtatt                                                                                             	Øst-Finnmark                                      	Troms og Finnmark                                 	Nesseby                                           		POINT(28.73999993631772 70.091666668525)
Svartnes                                                                                            	13	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Finnmark/Svartnesx.pdf' target='_blank' >FAKTAARK HER<a>                                                                                           	Vedtatt                                                                                             	Øst-Finnmark                                      	Troms og Finnmark                                 	Vardø                                             		POINT(31.044999809104077 70.36666667216183)
Nordfjord                                                                                           	14	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Finnmark/Nordfjordx.pdf' target='_blank' >FAKTAARK HER<a>                                                                                          	Vedtatt                                                                                             	Øst-Finnmark                                      	Troms og Finnmark                                 	Båtsfjord                                         		POINT(30.148333214364126 70.54000000325988)
Båtsfjord                                                                                           	15	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Finnmark/Baatsfjordx.pdf' target='_blank' >FAKTAARK HER<a>                                                                                         	Vedtatt                                                                                             	Øst-Finnmark                                      	Troms og Finnmark                                 	Båtsfjord                                         		POINT(29.773333237042443 70.64333333589988)
Kongsfjord                                                                                          	16	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Finnmark/Kongsfjordx.pdf' target='_blank' >FAKTAARK HER<a>                                                                                         	Vedtatt                                                                                             	Øst-Finnmark                                      	Troms og Finnmark                                 	Berlevåg                                          		POINT(29.381666589107148 70.7150000020257)
Tyfjord                                                                                             	17	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Finnmark/Tyfjordx.pdf' target='_blank' >FAKTAARK HER<a>                                                                                            	Vedtatt                                                                                             	Midt-Finnmark                                     	Troms og Finnmark                                 	Gamvik                                            		POINT(28.45999995420309 70.88000000114044)
