navn	nodhavnnummer	kategori	lenke_faktaark	forvaltningsstatus	iua	fylke	kommune	informasjon	geom_wkt
Bjerkvik                                                                                            	-99	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Bjerkvik.pdf' target='_blank' >FAKTAARK HER<a>                                                                                            	Vedtatt                                                                                             	Ofoten                                            	Nordland                                          	Narvik                                            		POINT(17.53566728024114 68.53741157528646)
Bogen                                                                                               	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Bogen i Evenes.pdf' target='_blank' >FAKTAARK HER<a>                                                                                      	Vedtatt                                                                                             	Ofoten                                            	Nordland                                          	Evenes                                            		POINT(17.0314659663247 68.48950775864907)
Vikholmen                                                                                           	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Vikholmen.pdf' target='_blank' >FAKTAARK HER<a>                                                                                           	Vedtatt                                                                                             	Helgeland                                         	Nordland                                          	Alstahaug                                         		POINT(12.434751712702644 65.93352863289223)
Gleinskallen                                                                                        	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Gleinskallen.pdf' target='_blank' >FAKTAARK HER<a>                                                                                        	Vedtatt                                                                                             	Helgeland                                         	Nordland                                          	Dønna                                             		POINT(12.635113727626399 66.16694355050342)
Nerdal                                                                                              	-99	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Nerdal.pdf' target='_blank' >FAKTAARK HER<a>                                                                                              	Vedtatt                                                                                             	Rana                                              	Nordland                                          	Rana                                              		POINT(13.962711298617277 66.27226262151574)
Utskarpen                                                                                           	-99	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Utskarpen.pdf' target='_blank' >FAKTAARK HER<a>                                                                                           	Vedtatt                                                                                             	Rana                                              	Nordland                                          	Rana                                              		POINT(13.587388142961029 66.27991978416846)
Landegode NØ                                                                                        	-99	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Landegode NO.pdf' target='_blank' >FAKTAARK HER<a>                                                                                        	Vedtatt                                                                                             	Salten                                            	Nordland                                          	Bodø                                              		POINT(14.432471839788702 67.431213840226)
Breivika                                                                                            	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Breivika_Bodo.pdf' target='_blank' >FAKTAARK HER<a>                                                                                       	Vedtatt                                                                                             	Salten                                            	Nordland                                          	Bodø                                              		POINT(15.140371793318566 67.21647583345155)
Skjoldehavn                                                                                         	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Skjoldehavn.pdf' target='_blank' >FAKTAARK HER<a>                                                                                         	Vedtatt                                                                                             	Lofoten og Vesterålen                             	Nordland                                          	Andøy                                             		POINT(15.501790994792684 68.8653836579813)
Gisløy                                                                                              	-99	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Gisloy.pdf' target='_blank' >FAKTAARK HER<a>                                                                                              	Vedtatt                                                                                             	Lofoten og Vesterålen                             	Nordland                                          	Øksnes                                            		POINT(15.298576231189147 68.92959599379026)
Frengenbukta                                                                                        	3162402	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3162402_Frengenbukta.pdf' target='_blank' >FAKTAARK HER<a>                                                                           	Vedtatt                                                                                             	Sør-Trøndelag                                     	Trøndelag                                         	Ørland                                            		POINT(9.923333333412168 63.72999999996642)
Høydalsvika                                                                                         	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Hoydalsvika.pdf' target='_blank' >FAKTAARK HER<a>                                                                                         	Vedtatt                                                                                             	Lofoten og Vesterålen                             	Nordland                                          	Øksnes                                            		POINT(15.024994816537985 68.93115095445043)
Lekang                                                                                              	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Lekang.pdf' target='_blank' >FAKTAARK HER<a>                                                                                              	Vedtatt                                                                                             	Lofoten og Vesterålen                             	Nordland                                          	Hadsel                                            		POINT(14.966406609388171 68.5152952637992)
Haugbukta                                                                                           	-99	3	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Haugbukta.pdf' target='_blank' >FAKTAARK HER<a>                                                                                           	Vedtatt                                                                                             	Lofoten og Vesterålen                             	Nordland                                          	Vestvågøy                                         		POINT(13.499479068344758 68.14334494235831)
Nappstraumen                                                                                        	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Nappstraumen.pdf' target='_blank' >FAKTAARK HER<a>                                                                                        	Vedtatt                                                                                             	Lofoten og Vesterålen                             	Nordland                                          	Flakstad                                          		POINT(13.438941608794998 68.10969183661933)
Skjelfjorden                                                                                        	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Skjelfjorden.pdf' target='_blank' >FAKTAARK HER<a>                                                                                        	Vedtatt                                                                                             	Lofoten og Vesterålen                             	Nordland                                          	Flakstad                                          		POINT(13.244513848072778 68.0201542356871)
Kandstadfjorden                                                                                     	-99	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Kandstadfjorden.pdf' target='_blank' >FAKTAARK HER<a>                                                                                     	Vedtatt                                                                                             	Ofoten                                            	Nordland                                          	Lødingen                                          		POINT(15.803172443099479 68.39243859136462)
Sjomen                                                                                              	-99	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Sjomen N.pdf' target='_blank' >FAKTAARK HER<a>                                                                                            	Vedtatt                                                                                             	Ofoten                                            	Nordland                                          	Narvik                                            		POINT(17.16445342192227 68.40512992562957)
Skutvik                                                                                             	-99	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Skutvik.pdf' target='_blank' >FAKTAARK HER<a>                                                                                             	Vedtatt                                                                                             	Ofoten                                            	Nordland                                          	Hamarøy                                           		POINT(15.34628982527501 67.99798255990336)
Grøtøyleia                                                                                          	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Grotoyleia.pdf' target='_blank' >FAKTAARK HER<a>                                                                                          	Vedtatt                                                                                             	Salten                                            	Nordland                                          	Steigen                                           		POINT(14.758344580831908 67.87508107110423)
Bårdsteinvika                                                                                       	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Bardsteinvika.pdf' target='_blank' >FAKTAARK HER<a>                                                                                       	Vedtatt                                                                                             	Salten                                            	Nordland                                          	Bodø                                              		POINT(15.054949157418136 67.51645685778401)
Hammerfall                                                                                          	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Hammerfall.pdf' target='_blank' >FAKTAARK HER<a>                                                                                          	Vedtatt                                                                                             	Salten                                            	Nordland                                          	Sørfold                                           		POINT(15.559271514116457 67.38588016520345)
Grønnholmen                                                                                         	0	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Gronnholmen.pdf' target='_blank' >FAKTAARK HER<a>                                                                                         	Vedtatt                                                                                             	Ofoten                                            	Nordland                                          	Narvik                                            		POINT(16.99581382528108 68.37368070883427)
Landegode S                                                                                         	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Landegode S.pdf' target='_blank' >FAKTAARK HER<a>                                                                                         	Vedtatt                                                                                             	Salten                                            	Nordland                                          	Bodø                                              		POINT(14.278851651044386 67.34847189593941)
Hjartøysundet                                                                                       	-99	3	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Hjartoysundet.pdf' target='_blank' >FAKTAARK HER<a>                                                                                       	Vedtatt                                                                                             	Salten                                            	Nordland                                          	Bodø                                              		POINT(14.333961758598907 67.28997437115963)
Fleina                                                                                              	-99	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Fleina S.pdf' target='_blank' >FAKTAARK HER<a>                                                                                            	Vedtatt                                                                                             	Salten                                            	Nordland                                          	Gildeskål                                         		POINT(13.887631414538879 67.09393004829384)
Fugløya V                                                                                           	-99	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Fugloya V.pdf' target='_blank' >FAKTAARK HER<a>                                                                                           	Vedtatt                                                                                             	Salten                                            	Nordland                                          	Gildeskål                                         		POINT(13.724171298232566 67.06561423395122)
Teksmona                                                                                            	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Teksmona N.pdf' target='_blank' >FAKTAARK HER<a>                                                                                          	Vedtatt                                                                                             	Salten                                            	Nordland                                          	Meløy                                             		POINT(13.58669564657949 66.8977207169701)
Renga                                                                                               	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Renga O.pdf' target='_blank' >FAKTAARK HER<a>                                                                                             	Vedtatt                                                                                             	Salten                                            	Nordland                                          	Rødøy                                             		POINT(13.160912627925706 66.61078438728728)
Hellesvika                                                                                          	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Hellesvika.pdf' target='_blank' >FAKTAARK HER<a>                                                                                          	Vedtatt                                                                                             	Helgeland                                         	Nordland                                          	Leirfjord                                         		POINT(12.914673382869726 66.02745646724719)
Ylvingen V                                                                                          	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Ylvingen V.pdf' target='_blank' >FAKTAARK HER<a>                                                                                          	Vedtatt                                                                                             	Helgeland                                         	Nordland                                          	Vega                                              		POINT(12.065168205486469 65.62560739913866)
Ormøya                                                                                              	-99	3	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Ormoya NV.pdf' target='_blank' >FAKTAARK HER<a>                                                                                           	Vedtatt                                                                                             	Helgeland                                         	Nordland                                          	Brønnøy                                           		POINT(12.136999497579819 65.43641828175063)
Bjørnstigodden                                                                                      	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Bjoernstigodden.pdf' target='_blank' >FAKTAARK HER<a>                                                                                     	Vedtatt                                                                                             	Helgeland                                         	Nordland                                          	Sømna                                             		POINT(12.25142856988317 65.3110349159462)
Lødingen                                                                                            	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Lodingen.pdf' target='_blank' >FAKTAARK HER<a>                                                                                            	Vedtatt                                                                                             	Ofoten                                            	Nordland                                          	Lødingen                                          		POINT(16.012512839452437 68.42231005384163)
Framnesodden                                                                                        	-99	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Framnesodden.pdf' target='_blank' >FAKTAARK HER<a>                                                                                        	Vedtatt                                                                                             	Ofoten                                            	Nordland                                          	Narvik                                            		POINT(17.360558634478277 68.44200493624173)
Bognes                                                                                              	-99	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Bognes.pdf' target='_blank' >FAKTAARK HER<a>                                                                                              	Vedtatt                                                                                             	Ofoten                                            	Nordland                                          	Hamarøy                                           		POINT(16.09861843979555 68.22632025931449)
Andfjorden                                                                                          	-99	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Andfjorden.pdf' target='_blank' >FAKTAARK HER<a>                                                                                          	Vedtatt                                                                                             	Lofoten og Vesterålen                             	Nordland                                          	Andøy                                             		POINT(15.934320160753165 69.02636386528143)
Risøyhamn                                                                                           	-99	3	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Risoyhamn.pdf' target='_blank' >FAKTAARK HER<a>                                                                                           	Vedtatt                                                                                             	Lofoten og Vesterålen                             	Nordland                                          	Andøy                                             		POINT(15.612679389558272 68.96196212870274)
Gåsfjorden                                                                                          	-99	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Gaasfjorden.pdf' target='_blank' >FAKTAARK HER<a>                                                                                         	Vedtatt                                                                                             	Lofoten og Vesterålen                             	Nordland                                          	Sortland                                          		POINT(15.351904306111727 68.78636260475945)
Sortland                                                                                            	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Sortland.pdf' target='_blank' >FAKTAARK HER<a>                                                                                            	Vedtatt                                                                                             	Lofoten og Vesterålen                             	Nordland                                          	Sortland                                          		POINT(15.405171764436252 68.66246865619321)
Lonkan                                                                                              	-99	3	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Lonkan.pdf' target='_blank' >FAKTAARK HER<a>                                                                                              	Vedtatt                                                                                             	Lofoten og Vesterålen                             	Nordland                                          	Hadsel                                            		POINT(15.275285995144717 68.51730850849637)
Falkfjorden                                                                                         	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Falkfjorden.pdf' target='_blank' >FAKTAARK HER<a>                                                                                         	Vedtatt                                                                                             	Lofoten og Vesterålen                             	Nordland                                          	Hadsel                                            		POINT(14.974531761298552 68.4547233375714)
Breivika                                                                                            	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Breivika.pdf' target='_blank' >FAKTAARK HER<a>                                                                                            	Vedtatt                                                                                             	Lofoten og Vesterålen                             	Nordland                                          	Hadsel                                            		POINT(14.74769290100502 68.58232142666176)
Godfjorden                                                                                          	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Godfjorden.pdf' target='_blank' >FAKTAARK HER<a>                                                                                          	Vedtatt                                                                                             	Lofoten og Vesterålen                             	Nordland                                          	Sortland                                          		POINT(15.860327986113642 68.7661958574008)
Digermulen                                                                                          	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Digermulen.pdf' target='_blank' >FAKTAARK HER<a>                                                                                          	Vedtatt                                                                                             	Lofoten og Vesterålen                             	Nordland                                          	Vågan                                             		POINT(14.973518048043598 68.3244976438733)
Leknes                                                                                              	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Leknes.pdf' target='_blank' >FAKTAARK HER<a>                                                                                              	Vedtatt                                                                                             	Lofoten og Vesterålen                             	Nordland                                          	Vestvågøy                                         		POINT(13.595356847573537 68.1133493256597)
Nusfjord                                                                                            	-99	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Nusfjord SO.pdf' target='_blank' >FAKTAARK HER<a>                                                                                         	Vedtatt                                                                                             	Lofoten og Vesterålen                             	Nordland                                          	Flakstad                                          		POINT(13.419146392135197 68.02304058153555)
Lofotodden                                                                                          	-99	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Lofotodden O.pdf' target='_blank' >FAKTAARK HER<a>                                                                                        	Vedtatt                                                                                             	Lofoten og Vesterålen                             	Nordland                                          	Moskenes                                          		POINT(12.921930696365253 67.83884659955224)
Seivågen                                                                                            	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Seivagen.pdf' target='_blank' >FAKTAARK HER<a>                                                                                            	Vedtatt                                                                                             	Salten                                            	Nordland                                          	Bodø                                              		POINT(14.543539223604002 67.24280955180406)
Mårnesskagen                                                                                        	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Marnesskagen.pdf' target='_blank' >FAKTAARK HER<a>                                                                                        	Vedtatt                                                                                             	Salten                                            	Nordland                                          	Gildeskål                                         		POINT(14.102731936646121 67.16017215036989)
Neverdalsbukta                                                                                      	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Neverdalsbukta.pdf' target='_blank' >FAKTAARK HER<a>                                                                                      	Vedtatt                                                                                             	Salten                                            	Nordland                                          	Meløy                                             		POINT(13.746302914831395 66.83904324856904)
Grønøy V                                                                                            	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Gronnoy V.pdf' target='_blank' >FAKTAARK HER<a>                                                                                           	Vedtatt                                                                                             	Salten                                            	Nordland                                          	Meløy                                             		POINT(13.385792782248782 66.78767048481109)
Haugsfjorden                                                                                        	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Haugsfjorden.pdf' target='_blank' >FAKTAARK HER<a>                                                                                        	Vedtatt                                                                                             	Helgeland                                         	Nordland                                          	Alstahaug                                         		POINT(12.405410717836823 65.87718872437381)
Tilremfjorden                                                                                       	-99	3	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Tilremfjorden.pdf' target='_blank' >FAKTAARK HER<a>                                                                                       	Vedtatt                                                                                             	Helgeland                                         	Nordland                                          	Brønnøy                                           		POINT(12.186881535824558 65.49540552611876)
Grønøy SØ                                                                                           	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Gronnoy SO.pdf' target='_blank' >FAKTAARK HER<a>                                                                                          	Vedtatt                                                                                             	Salten                                            	Nordland                                          	Meløy                                             		POINT(13.462717509319184 66.78225301001902)
Hokvika                                                                                             	-99	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Hokvika.pdf' target='_blank' >FAKTAARK HER<a>                                                                                             	Vedtatt                                                                                             	Ofoten                                            	Nordland                                          	Narvik                                            		POINT(17.242383878333694 68.41621164485042)
Sundsvågen                                                                                          	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Sundsvagen.pdf' target='_blank' >FAKTAARK HER<a>                                                                                          	Vedtatt                                                                                             	Helgeland                                         	Nordland                                          	Dønna                                             		POINT(12.761913912055222 66.178709452642)
Gimlingen Ø                                                                                         	-99	3	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Gimlingen O.pdf' target='_blank' >FAKTAARK HER<a>                                                                                         	Vedtatt                                                                                             	Helgeland                                         	Nordland                                          	Sømna                                             		POINT(11.96635849991096 65.20788328373848)
Esvågneset                                                                                          	-99	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Esvaagneset.pdf' target='_blank' >FAKTAARK HER<a>                                                                                         	Vedtatt                                                                                             	Salten                                            	Nordland                                          	Rødøy                                             		POINT(13.084938226418469 66.63939631725177)
Selsøyvika                                                                                          	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Selsoyvika.pdf' target='_blank' >FAKTAARK HER<a>                                                                                          	Vedtatt                                                                                             	Ofoten                                            	Nordland                                          	Hamarøy                                           		POINT(15.521448878221339 68.15916940447117)
Sømnesøya                                                                                           	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Somnesoya.pdf' target='_blank' >FAKTAARK HER<a>                                                                                           	Vedtatt                                                                                             	Helgeland                                         	Nordland                                          	Sømna                                             		POINT(12.110313975620036 65.37335820093203)
Sortlandssundet                                                                                     	-99	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Sortlandssundet S.pdf' target='_blank' >FAKTAARK HER<a>                                                                                   	Vedtatt                                                                                             	Lofoten og Vesterålen                             	Nordland                                          	Hadsel                                            		POINT(15.114796375027144 68.56869836609152)
Kongselv                                                                                            	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Kongselv.pdf' target='_blank' >FAKTAARK HER<a>                                                                                            	Vedtatt                                                                                             	Lofoten og Vesterålen                             	Nordland                                          	Hadsel                                            		POINT(15.176419670622824 68.441609330597)
Smines                                                                                              	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Smines.pdf' target='_blank' >FAKTAARK HER<a>                                                                                              	Vedtatt                                                                                             	Lofoten og Vesterålen                             	Nordland                                          	Øksnes                                            		POINT(15.008160731351149 68.8643342998682)
Valsneset / Valsfjorden                                                                             	3162701	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3162701_Valsneset_Valsfjorden.pdf' target='_blank' >FAKTAARK HER<a>                                                                  	Vedtatt                                                                                             	Sør-Trøndelag                                     	Trøndelag                                         	Ørland                                            		POINT(9.638333332988987 63.81666666654055)
Bøvika                                                                                              	-99	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Bovika.pdf' target='_blank' >FAKTAARK HER<a>                                                                                              	Vedtatt                                                                                             	Salten                                            	Nordland                                          	Steigen                                           		POINT(15.038668397256137 67.97740708049649)
Vikertangen                                                                                         	1011101	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Vikertangen.pdf' target='_blank' >FAKTAARK HER<a>                                                                                           	Vedtatt                                                                                             	Østfold                                           	Viken                                             	Hvaler                                            	Sjøkart: 1                                                                                          	POINT(10.956084364984124 59.03266741262438)
Ormesanden                                                                                          	1030101	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Sorost/Ormoeysanden.pdf' target='_blank' >FAKTAARK HER<a>                                                                                          	Vedtatt                                                                                             	Indre Oslofjord                                   	Oslo                                              	Oslo                                              	Sjøkart: 4, 401, 452                                                                                	POINT(10.748472617642275 59.879341171920935)
Herandsvågen                                                                                        	176	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge176.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Haugesund                                         	Vestland                                          	Ullensvang                                        	Sjøkart: 117, Havnedistrikt: -                                                                      	POINT(6.362101663992725 60.34307630741126)
Ågotnes                                                                                             	186	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge186.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Bergen                                            	Vestland                                          	Øygarden                                          	Sjøkart: 23, Havnedistrikt: Bergen og Omland                                                        	POINT(5.006638588545184 60.4147807551568)
Vettås                                                                                              	189	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge189.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Bergen                                            	Vestland                                          	Alver                                             	Sjøkart: 23, Havnedistrikt: Bergen og Omland                                                        	POINT(5.180776720720971 60.587253060388775)
Nessefjorden                                                                                        	196	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge196.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Bergen                                            	Vestland                                          	Solund                                            	Sjøkart: 25, Havnedistrikt: -                                                                       	POINT(4.902257880499884 61.091053050487176)
Åfjorden                                                                                            	207	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge207.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Bergen                                            	Vestland                                          	Hyllestad                                         	Sjøkart: 251, Havnedistrikt: -                                                                      	POINT(5.258374300139446 61.177177735526534)
